"","year","munCode","mun","totalPop","totalOldPop","births","deaths","totArea","inhabitable","kindergarten","elementary","lowerSecond","upperSecond","employed","percOldPop","birthrate","deathrate","percInhab","percEmpl","education"
"125",2020,"5214","Akita-ken Nikaho-shi",23435,9140,85,369,24113,7814,1,4,3,1,11543,39.0014934926392,3.62705355237892,15.7456795391508,32.4057562310787,49.2553872413057,9
"126",2020,"5215","Akita-ken Semboku-shi",24610,10533,91,496,109356,15175,1,6,5,1,12485,42.7996749288907,3.6976838683462,20.15440877692,13.8766962946706,50.7314099959366,13
"127",2020,"5303","Akita-ken Kosaka-machi",4780,2145,16,116,20170,1877,0,1,1,1,2206,44.8744769874477,3.34728033472803,24.2677824267782,9.30589985126425,46.1506276150628,3
"128",2020,"5327","Akita-ken Kamikoani-mura",2063,1107,4,55,25672,1858,0,1,1,0,876,53.6597188560349,1.93892389723703,26.6602035870092,7.23745715176067,42.462433349491,2
"129",2020,"5346","Akita-ken Fujisato-machi",2896,1413,3,78,28213,3734,1,1,1,0,1375,48.7914364640884,1.03591160220994,26.9337016574586,13.2350334951972,47.4792817679558,3
"130",2020,"5348","Akita-ken Mitane-cho",15254,6935,50,320,24798,11211,1,6,3,0,7605,45.4634849875442,3.27782876622525,20.9781041038416,45.2092910718606,49.8557755342861,10
"131",2020,"5349","Akita-ken Happou-cho",6577,3036,22,131,23414,4295,0,2,1,0,3270,46.1608636156302,3.34499011707465,19.9178956971263,18.3437259759118,49.7187167401551,3
"132",2020,"5361","Akita-ken Gojome-machi",8538,4038,30,179,21492,3888,0,1,1,1,3992,47.2944483485594,3.51370344342937,20.9650972124619,18.0904522613065,46.7556804872335,3
"133",2020,"5363","Akita-ken Hachirogata-machi",5583,2477,24,100,1700,1393,0,1,1,0,2677,44.3668278703206,4.29876410531972,17.9115171054988,81.9411764705882,47.9491312914204,2
"134",2020,"5366","Akita-ken Ikawa-machi",4566,1977,9,66,4795,2227,0,0,0,0,2202,43.2982917214192,1.97109067017083,14.4546649145861,46.444212721585,48.2260183968463,0
"135",2020,"5368","Akita-ken Ogata-mura",3011,954,16,34,17011,15966,0,1,1,0,1966,31.6838259714381,5.3138492195284,11.2919295914978,93.8569161131033,65.2939222849552,2
"136",2020,"5434","Akita-ken Misato-cho",18613,7367,69,314,16832,9649,0,3,1,1,9848,39.5798635362381,3.70708644495783,16.8699296190834,57.3253326996198,52.9092569709343,5
"137",2020,"5463","Akita-ken Ugo-machi",13825,5437,63,270,23078,6852,0,4,1,1,7455,39.3273056057866,4.55696202531646,19.5298372513562,29.6906144379929,53.9240506329114,6
"138",2020,"5464","Akita-ken Higashinaruse-mura",2704,1008,10,49,20369,3012,0,1,1,0,1567,37.2781065088757,3.69822485207101,18.1213017751479,14.7871765918798,57.9511834319527,2
"139",2020,"6201","Yamagata-ken Yamagata-shi",247590,72341,1667,2899,38130,17403,18,37,16,14,118135,29.2180621188255,6.73290520618765,11.7088735409346,45.6412273800157,47.7139625994588,85
"140",2020,"6202","Yamagata-ken Yonezawa-shi",81252,25259,439,1069,54851,13329,7,23,7,6,40875,31.0872347757594,5.40294392753409,13.156599222173,24.3003773860094,50.3064539949786,43
"141",2020,"6203","Yamagata-ken Tsuruoka-shi",122347,43003,681,1775,131153,40118,6,26,11,9,62393,35.1483894169861,5.56613566331827,14.5079160093831,30.5887017452899,50.9967551308982,52
"142",2020,"6204","Yamagata-ken Sakata-shi",100273,36091,526,1535,60297,24423,3,23,8,4,50286,35.9927398202906,5.24567929552322,15.3082085905478,40.5045027115777,50.149092976175,38
