YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2020100000,2020,01392,Hokkaido Suttsu-cho,,"2,838",,"1,167",,14,,47,,118,,141,,"9,525",,"1,472",,***,,***,,***,,***,,***,,0,,2,,1,,1,,"1,376",,***,,***,,0,,3,,2,,***,,***,
2020100000,2020,01393,Hokkaido Kuromatsunai-cho,,"2,791",,"1,102",,9,,42,,141,,161,,"34,565",,"7,285",,***,,***,,***,,***,,***,,0,,2,,2,,0,,"1,315",,***,,***,,0,,5,,1,,***,,***,
2020100000,2020,01394,Hokkaido Rankoshi-cho,,"4,568",,"1,828",,31,,95,,212,,204,,"44,978",,"7,125",,***,,***,,***,,***,,***,,1,,2,,1,,1,,"2,386",,***,,***,,1,,4,,2,,***,,***,
2020100000,2020,01395,Hokkaido Niseko-cho,,"5,074",,"1,307",,42,,56,,350,,480,,"19,713",,"5,154",,***,,***,,***,,***,,***,,1,,2,,1,,1,,"2,623",,***,,***,,0,,2,,2,,***,,***,
2020100000,2020,01396,Hokkaido Makkari-mura,,"2,045",,705,,13,,29,,96,,145,,"11,425",,"3,609",,***,,***,,***,,***,,***,,0,,2,,1,,1,,"1,146",,***,,***,,0,,3,,1,,***,,***,
2020100000,2020,01397,Hokkaido Rusutsu-mura,,"1,911",,493,,14,,18,,159,,151,,"11,984",,"4,541",,***,,***,,***,,***,,***,,0,,1,,1,,1,,"1,241",,***,,***,,0,,2,,1,,***,,***,
2020100000,2020,01398,Hokkaido Kimobetsu-cho,,"2,156",,805,,11,,40,,98,,116,,"18,941",,"3,324",,***,,***,,***,,***,,***,,0,,2,,1,,0,,"1,081",,***,,***,,0,,2,,2,,***,,***,
2020100000,2020,01399,Hokkaido Kyogoku-cho,,"2,941",,"1,114",,20,,54,,134,,143,,"23,149",,"3,738",,***,,***,,***,,***,,***,,0,,1,,1,,0,,"1,526",,***,,***,,1,,2,,2,,***,,***,
2020100000,2020,01400,Hokkaido Kutchan-cho,,"15,129",,"3,731",,126,,121,,"1,229",,"1,471",,"26,134",,"6,889",,***,,***,,***,,***,,***,,2,,5,,1,,2,,"8,009",,***,,***,,1,,11,,7,,***,,***,
2020100000,2020,01401,Hokkaido Kyowa-cho,,"5,772",,"1,826",,43,,84,,231,,310,,"30,492",,"8,671",,***,,***,,***,,***,,***,,2,,3,,1,,0,,"3,216",,***,,***,,0,,4,,3,,***,,***,
2020100000,2020,01402,Hokkaido Iwanai-cho,,"11,648",,"4,364",,57,,216,,367,,536,,"7,060",,"1,357",,***,,***,,***,,***,,***,,2,,2,,2,,1,,"5,633",,***,,***,,1,,10,,7,,***,,***,
2020100000,2020,01403,Hokkaido Tomari-mura,,"1,569",,625,,9,,41,,47,,70,,"8,227",,546,,***,,***,,***,,***,,***,,0,,1,,1,,0,,790,,***,,***,,0,,3,,1,,***,,***,
2020100000,2020,01404,Hokkaido Kamoenai-mura,,870,,448,,4,,20,,20,,29,,"14,779",,973,,***,,***,,***,,***,,***,,0,,1,,1,,0,,391,,***,,***,,0,,1,,1,,***,,***,
2020100000,2020,01405,Hokkaido Shakotan-cho,,"1,831",,859,,4,,39,,46,,74,,"23,813",,"5,074",,***,,***,,***,,***,,***,,0,,4,,1,,0,,941,,***,,***,,0,,2,,1,,***,,***,
2020100000,2020,01406,Hokkaido Furubira-cho,,"2,745",,"1,154",,3,,56,,42,,99,,"18,836",,"2,682",,***,,***,,***,,***,,***,,0,,1,,1,,0,,"1,320",,***,,***,,0,,1,,2,,***,,***,
2020100000,2020,01407,Hokkaido Niki-cho,,"3,180",,"1,282",,19,,56,,179,,188,,"16,796",,"4,067",,***,,***,,***,,***,,***,,0,,2,,2,,0,,"1,675",,***,,***,,0,,3,,2,,***,,***,
2020100000,2020,01408,Hokkaido Yoichi-cho,,"18,000",,"7,260",,83,,288,,582,,697,,"14,059",,"4,388",,***,,***,,***,,***,,***,,3,,4,,3,,2,,"8,136",,***,,***,,2,,14,,12,,***,,***,
2020100000,2020,01409,Hokkaido Akaigawa-mura,,"1,165",,361,,7,,16,,95,,111,,"28,009",,"1,727",,***,,***,,***,,***,,***,,0,,2,,1,,0,,705,,***,,***,,0,,1,,0,,***,,***,
